second,activity
1,still
2,still
3,still
4,still
5,still
6,flip
7,flip
8,flip
9,flip
10,flip
11,flip
12,flip
13,flip
14,flip
15,flip
16,flip
17,flip
18,flip
19,flip
20,flip
21,still
22,still
23,still
24,still
25,still
26,type
27,type
28,type
29,type
30,type
31,type
32,type
33,type
34,type
35,type
36,still
37,still
38,still
39,still
40,still
41,flip
42,flip
43,flip
44,flip
45,flip
46,flip
47,flip
48,flip
49,flip
50,flip
51,flip
52,flip
53,flip
54,flip
55,flip
56,still
57,still
58,still
59,still
60,still
61,type
62,type
63,type
64,type
65,type
66,type
67,type
68,type
69,type
70,type
71,still
72,still
73,still
74,still
75,still
76,flip
77,flip
78,flip
79,flip
80,flip
81,flip
82,flip
83,flip
84,flip
85,flip
